nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 C2H3CHOZ   O2                                          CO         C2H3       OOH                               0.179E-13  0.268E+01   549
 CO         C2H3       OOH                              C2H3CHOZ   O2                                           0.130E-32  0.268E+01  1506
 N2         O3P                                         NO         N4S                                          0.157E-16  0.268E+01   550
 NO         N4S                                         N2         O3P                                          0.556E-10  0.268E+01  1507
 N4S        O2                                          NO         O3P                                          0.815E-11  0.268E+01   551
 NO         O3P                                         N4S        O2                                           0.150E-14  0.268E+01  1508
 NO         NO                                          N2         O2                                           0.301E-18  0.268E+01   552
 N2         O2                                          NO         NO                                           0.463E-21  0.268E+01  1509
 N2O        O3P                                         N2         O2                                           0.333E-12  0.268E+01   553
 N2         O2                                          N2O        O3P                                          0.327E-20  0.268E+01  1510
 N2O        O3P                                         NO         NO                                           0.326E-12  0.268E+01   554
 NO         NO                                          N2O        O3P                                          0.208E-17  0.268E+01  1511
 N2O        N4S                                         N2         NO                                           0.202E-12  0.268E+01   555
 N2         NO                                          N2O        N4S                                          0.365E-24  0.268E+01  1512
 N2O        NO                                          N2         NO2                                          0.752E-14  0.268E+01   556
 N2         NO2                                         N2O        NO                                           0.724E-17  0.268E+01  1513
 NO2        O3P                                         NO         O2                                           0.684E-11  0.268E+01   557
 NO         O2                                          NO2        O3P                                          0.698E-16  0.268E+01  1514
 NO2        N4S                                         N2O        O3P                                          0.140E-11  0.268E+01   558
 N2O        O3P                                         NO2        N4S                                          0.409E-15  0.268E+01  1515
 NO2        N4S                                         NO         NO                                           0.166E-11  0.268E+01   559
 NO         NO                                          NO2        N4S                                          0.311E-20  0.268E+01  1516
 NO2        NO                                          N2O        O2                                           0.302E-17  0.268E+01   560
 N2O        O2                                          NO2        NO                                           0.482E-17  0.268E+01  1517
 NO2        NO2                                         NO         NO         O2                                0.151E-13  0.268E+01   561
 NO         NO         O2                               NO2        NO2                                          0.247E-37  0.268E+01  1518
 NO2        NO2                                         NO3        NO                                           0.582E-13  0.268E+01   562
 NO3        NO                                          NO2        NO2                                          0.288E-10  0.268E+01  1519
 NO3        NO2                                         NO         NO2        O2                                0.985E-13  0.268E+01   563
 NO         NO2        O2                               NO3        NO2                                          0.327E-39  0.268E+01  1520
 NO3        O3P                                         NO2        O2                                           0.169E-10  0.268E+01   564
 NO2        O2                                          NO3        O3P                                          0.349E-18  0.268E+01  1521
 NO3        NO3                                         NO2        NO2        O2                                0.291E-12  0.268E+01   565
 NO2        NO2        O2                               NO3        NO3                                          0.195E-41  0.268E+01  1522
 N2O4       O3P                                         N2O3       O2                                           0.201E-11  0.268E+01   566
 N2O3       O2                                          N2O4       O3P                                          0.850E-18  0.268E+01  1523
 N2O3       O3P                                         NO2        NO2                                          0.450E-12  0.268E+01   567
 NO2        NO2                                         N2O3       O3P                                          0.145E-17  0.268E+01  1524
 NH         H                                           N4S        H2                                           0.495E-10  0.268E+01   568
 N4S        H2                                          NH         H                                            0.104E-11  0.268E+01  1525
 NH         N4S                                         N2         H                                            0.714E-10  0.268E+01   569
 N2         H                                           NH         N4S                                          0.200E-22  0.268E+01  1526
 NH         NH                                          NNH        H                                            0.847E-10  0.268E+01   570
 NNH        H                                           NH         NH                                           0.182E-14  0.268E+01  1527
 NH         NH                                          NH2        N4S                                          0.785E-11  0.268E+01   571
 NH2        N4S                                         NH         NH                                           0.377E-11  0.268E+01  1528
 NH         NH                                          N2         H2                                           0.379E-12  0.268E+01   572
 N2         H2                                          NH         NH                                           0.224E-26  0.268E+01  1529
 NH         H2                                          NH2        H                                            0.200E-11  0.268E+01   573
 NH2        H                                           NH         H2                                           0.454E-10  0.268E+01  1530
 NH2        N4S                                         N2         H          H                                 0.115E-09  0.268E+01   574
 N2         H          H                                NH2        N4S                                          0.568E-38  0.268E+01  1531
 NH2        NH                                          N2H2       H                                            0.522E-10  0.268E+01   575
 N2H2       H                                           NH2        NH                                           0.119E-10  0.268E+01  1532
 NH2        NH                                          NH3        N4S                                          0.107E-10  0.268E+01   576
 NH3        N4S                                         NH2        NH                                           0.711E-12  0.268E+01  1533
 NH3        NH                                          NH2        NH2                                          0.144E-11  0.268E+01   577
 NH2        NH2                                         NH3        NH                                           0.104E-10  0.268E+01  1534
 NH2        NH2                                         N2H2       H2                                           0.119E-10  0.268E+01   578
 N2H2       H2                                          NH2        NH2                                          0.119E-12  0.268E+01  1535
 N2H3       H                                           NH2        NH2                                          0.535E-10  0.268E+01   579
 NH2        NH2                                         N2H3       H                                            0.118E-11  0.268E+01  1536
 NH3        H                                           NH2        H2                                           0.116E-10  0.268E+01   580
 NH2        H2                                          NH3        H                                            0.369E-11  0.268E+01  1537
 NH3        NH2                                         N2H3       H2                                           0.681E-13  0.268E+01   581
 N2H3       H2                                          NH3        NH2                                          0.975E-12  0.268E+01  1538
 NNH        H                                           N2         H2                                           0.166E-09  0.268E+01   582
 N2         H2                                          NNH        H                                            0.457E-19  0.268E+01  1539
 NNH        N4S                                         NH         N2                                           0.321E-10  0.268E+01   583
 NH         N2                                          NNH        N4S                                          0.418E-18  0.268E+01  1540
 NNH        NH                                          N2         NH2                                          0.102E-10  0.268E+01   584
 N2         NH2                                         NNH        NH                                           0.640E-19  0.268E+01  1541
 NNH        NH2                                         N2         NH3                                          0.166E-10  0.268E+01   585
 N2         NH3                                         NNH        NH2                                          0.144E-19  0.268E+01  1542
 NNH        NNH                                         N2H2       N2                                           0.688E-11  0.268E+01   586
 N2H2       N2                                          NNH        NNH                                          0.458E-15  0.268E+01  1543
 N2H2       H                                           NNH        H2                                           0.101E-09  0.268E+01   587
 NNH        H2                                          N2H2       H                                            0.418E-15  0.268E+01  1544
 N2H2       N4S                                         NNH        NH                                           0.865E-11  0.268E+01   588
 NNH        NH                                          N2H2       N4S                                          0.170E-14  0.268E+01  1545
 N2H2       NH                                          NNH        NH2                                          0.443E-11  0.268E+01   589
 NNH        NH2                                         N2H2       NH                                           0.417E-15  0.268E+01  1546
 N2H2       NH2                                         NH3        NNH                                          0.833E-11  0.268E+01   590
 NH3        NNH                                         N2H2       NH2                                          0.109E-15  0.268E+01  1547
 N2H3       NH                                          N2H2       NH2                                          0.332E-10  0.268E+01   591
 N2H2       NH2                                         N2H3       NH                                           0.168E-12  0.268E+01  1548
 N2H3       NNH                                         N2H2       N2H2                                         0.688E-11  0.268E+01   592
 N2H2       N2H2                                        N2H3       NNH                                          0.369E-09  0.268E+01  1549
 N2H3       H                                           N2H2       H2                                           0.166E-10  0.268E+01   593
 N2H2       H2                                          N2H3       H                                            0.368E-14  0.268E+01  1550
 N2H3       H                                           NH         NH3                                          0.166E-12  0.268E+01   594
 NH         NH3                                         N2H3       H                                            0.510E-15  0.268E+01  1551
 N2H3       N4S                                         N2H2       NH                                           0.865E-11  0.268E+01   595
 N2H2       NH                                          N2H3       N4S                                          0.910E-13  0.268E+01  1552
 N2H3       NH2                                         NH3        N2H2                                         0.794E-11  0.268E+01   596
 NH3        N2H2                                        N2H3       NH2                                          0.555E-14  0.268E+01  1553
 N2H3       N2H2                                        N2H4       NNH                                          0.443E-11  0.268E+01   597
 N2H4       NNH                                         N2H3       N2H2                                         0.827E-13  0.268E+01  1554
 N2H3       N2H3                                        NH3        NH3        N2                                0.498E-11  0.268E+01   598
 NH3        NH3        N2                               N2H3       N2H3                                         0.112E-44  0.268E+01  1555
 N2H3       N2H3                                        N2H4       N2H2                                         0.199E-10  0.268E+01   599
 N2H4       N2H2                                        N2H3       N2H3                                         0.200E-10  0.268E+01  1556
 N2H4       H                                           N2H3       H2                                           0.670E-11  0.268E+01   600
 N2H3       H2                                          N2H4       H                                            0.149E-14  0.268E+01  1557
 N2H4       H                                           NH2        NH3                                          0.201E-14  0.268E+01   601
 NH2        NH3                                         N2H4       H                                            0.312E-19  0.268E+01  1558
 N2H4       N4S                                         N2H3       NH                                           0.244E-10  0.268E+01   602
 N2H3       NH                                          N2H4       N4S                                          0.256E-12  0.268E+01  1559
 N2H4       NH                                          NH2        N2H3                                         0.117E-09  0.268E+01   603
 NH2        N2H3                                        N2H4       NH                                           0.588E-12  0.268E+01  1560
 N2H4       NH2                                         N2H3       NH3                                          0.224E-11  0.268E+01   604
 N2H3       NH3                                         N2H4       NH2                                          0.156E-14  0.268E+01  1561
 N4S        OH                                          NO         H                                            0.465E-10  0.268E+01   605
 NO         H                                           N4S        OH                                           0.326E-14  0.268E+01  1562
 N2O        H                                           N2         OH                                           0.913E-11  0.268E+01   606
 N2         OH                                          N2O        H                                            0.235E-18  0.268E+01  1563
 N2O        H                                           NH         NO                                           0.173E-11  0.268E+01   607
 NH         NO                                          N2O        H                                            0.111E-10  0.268E+01  1564
 N2O        H                                           NNH        O3P                                          0.752E-13  0.268E+01   608
 NNH        O3P                                         N2O        H                                            0.105E-10  0.268E+01  1565
 N2O        H                                           HNNO                                                    0.236E-14  0.268E+01   609
 HNNO                                                   N2O        H                                            0.123E+08  0.268E+01  1566
 N2O        OH                                          N2         OOH                                          0.224E-12  0.268E+01   610
 N2         OOH                                         N2O        OH                                           0.182E-15  0.268E+01  1567
 HNO        NO                                          N2O        OH                                           0.209E-13  0.268E+01   611
 N2O        OH                                          HNO        NO                                           0.820E-14  0.268E+01  1568
 HNO        NO         NO                               HNNO       NO2                                          0.279E-36  0.268E+01   612
 HNNO       NO2                                         HNO        NO         NO                                0.213E-10  0.268E+01  1569
 HNNO       H                                           N2O        H2                                           0.332E-10  0.268E+01   613
 N2O        H2                                          HNNO       H                                            0.158E-17  0.268E+01  1570
 HNNO       H                                           NH2        NO                                           0.166E-11  0.268E+01   614
 NH2        NO                                          HNNO       H                                            0.116E-16  0.268E+01  1571
 HNNO       O3P                                         N2O        OH                                           0.332E-10  0.268E+01   615
 N2O        OH                                          HNNO       O3P                                          0.106E-17  0.268E+01  1572
 HNNO       OH                                          H2O        N2O                                          0.332E-10  0.268E+01   616
 H2O        N2O                                         HNNO       OH                                           0.254E-18  0.268E+01  1573
 HNNO       OH                                          HNOH       NO                                           0.166E-11  0.268E+01   617
 HNOH       NO                                          HNNO       OH                                           0.105E-13  0.268E+01  1574
 HNNO       NO                                          N2         HONO                                         0.303E-12  0.268E+01   618
 N2         HONO                                        HNNO       NO                                           0.440E-20  0.268E+01  1575
 HNNO       NO                                          NNH        NO2                                          0.472E-11  0.268E+01   619
 NNH        NO2                                         HNNO       NO                                           0.785E-12  0.268E+01  1576
 HNNO       NO                                          N2O        HNO                                          0.166E-11  0.268E+01   620
 N2O        HNO                                         HNNO       NO                                           0.211E-13  0.268E+01  1577
 HNNO       NO2                                         N2O        HONO                                         0.166E-11  0.268E+01   621
 N2O        HONO                                        HNNO       NO2                                          0.251E-16  0.268E+01  1578
 HNNO       NO2                                         NNH        NO3                                          0.393E-12  0.268E+01   622
 NNH        NO3                                         HNNO       NO2                                          0.323E-10  0.268E+01  1579
 NO2        H                                           NO         OH                                           0.202E-09  0.268E+01   623
 NO         OH                                          NO2        H                                            0.541E-14  0.268E+01  1580
 NO2        OH                                          OOH        NO                                           0.691E-11  0.268E+01   624
 OOH        NO                                          NO2        OH                                           0.584E-11  0.268E+01  1581
 NO2        OOH                                         HONO       O2                                           0.857E-12  0.268E+01   625
 HONO       O2                                          NO2        OOH                                          0.490E-14  0.268E+01  1582
 NO2        H2                                          HONO       H                                            0.214E-14  0.268E+01   626
 HONO       H                                           NO2        H2                                           0.679E-12  0.268E+01  1583
 NO2        NH                                          N2O        OH                                           0.237E-12  0.268E+01   627
 N2O        OH                                          NO2        NH                                           0.982E-18  0.268E+01  1584
 NO2        NH                                          NO         HNO                                          0.341E-12  0.268E+01   628
 NO         HNO                                         NO2        NH                                           0.361E-17  0.268E+01  1585
 NO3        H                                           NO2        OH                                           0.110E-09  0.268E+01   629
 NO2        OH                                          NO3        H                                            0.594E-17  0.268E+01  1586
 NO3        OH                                          NO2        OOH                                          0.201E-10  0.268E+01   630
 NO2        OOH                                         NO3        OH                                           0.343E-13  0.268E+01  1587
 NO3        OOH                                         HNO3       O2                                           0.922E-12  0.268E+01   631
 HNO3       O2                                          NO3        OOH                                          0.328E-16  0.268E+01  1588
 NO3        OOH                                         NO2        OH         O2                                0.251E-11  0.268E+01   632
 NO2        OH         O2                               NO3        OOH                                          0.985E-38  0.268E+01  1589
 N2O4       H2O                                         HONO       HNO3                                         0.326E-10  0.268E+01   633
 HONO       HNO3                                        N2O4       H2O                                          0.125E-10  0.268E+01  1590
 N2O3       H2O                                         HONO       HONO                                         0.890E-11  0.268E+01   634
 HONO       HONO                                        N2O3       H2O                                          0.268E-10  0.268E+01  1591
 HNO        H                                           NO         H2                                           0.168E-09  0.268E+01   635
 NO         H2                                          HNO        H                                            0.628E-15  0.268E+01  1592
 HNO        OH                                          NO         H2O                                          0.549E-10  0.268E+01   636
 NO         H2O                                         HNO        OH                                           0.329E-16  0.268E+01  1593
 HNO        O3P                                         OH         NO                                           0.255E-10  0.268E+01   637
 OH         NO                                          HNO        O3P                                          0.639E-16  0.268E+01  1594
 HNO        O3P                                         NO2        H                                            0.535E-13  0.268E+01   638
 NO2        H                                           HNO        O3P                                          0.501E-14  0.268E+01  1595
 HNO        O2                                          NO         OOH                                          0.488E-14  0.268E+01   639
 NO         OOH                                         HNO        O2                                           0.101E-14  0.268E+01  1596
 HNO        N4S                                         NO         NH                                           0.511E-11  0.268E+01   640
 NO         NH                                          HNO        N4S                                          0.904E-15  0.268E+01  1597
 HNO        N4S                                         H          N2O                                          0.205E-11  0.268E+01   641
 H          N2O                                         HNO        N4S                                          0.563E-16  0.268E+01  1598
 HNO        NH                                          NH2        NO                                           0.397E-10  0.268E+01   642
 NH2        NO                                          HNO        NH                                           0.337E-14  0.268E+01  1599
 HNO        NH2                                         NH3        NO                                           0.267E-10  0.268E+01   643
 NH3        NO                                          HNO        NH2                                          0.314E-15  0.268E+01  1600
 HNO        HNO                                         N2O        H2O                                          0.108E-12  0.268E+01   644
 N2O        H2O                                         HNO        HNO                                          0.254E-19  0.268E+01  1601
 HNO        HNO                                         HNOH       NO                                           0.133E-15  0.268E+01   645
 HNOH       NO                                          HNO        HNO                                          0.259E-16  0.268E+01  1602
 HNO        NO2                                         HONO       NO                                           0.644E-12  0.268E+01   646
 HONO       NO                                          HNO        NO2                                          0.763E-15  0.268E+01  1603
 HONO       H                                           HNO        OH                                           0.242E-10  0.268E+01   647
 HNO        OH                                          HONO       H                                            0.546E-12  0.268E+01  1604
 HONO       H                                           NO         H2O                                          0.129E-10  0.268E+01   648
 NO         H2O                                         HONO       H                                            0.174E-18  0.268E+01  1605
 HONO       O3P                                         OH         NO2                                          0.536E-11  0.268E+01   649
 OH         NO2                                         HONO       O3P                                          0.113E-13  0.268E+01  1606
 HONO       OH                                          H2O        NO2                                          0.315E-11  0.268E+01   650
 H2O        NO2                                         HONO       OH                                           0.159E-14  0.268E+01  1607
 HONO       NH                                          NH2        NO2                                          0.166E-10  0.268E+01   651
 NH2        NO2                                         HONO       NH                                           0.119E-11  0.268E+01  1608
 HONO       HONO                                        H2O        NO2        NO                                0.253E-11  0.268E+01   652
 H2O        NO2        NO                               HONO       HONO                                         0.435E-36  0.268E+01  1609
 HONO       NH2                                         NO2        NH3                                          0.831E-11  0.268E+01   653
 NO2        NH3                                         HONO       NH2                                          0.825E-13  0.268E+01  1610
 HNO3       H                                           H2         NO3                                          0.343E-11  0.268E+01   654
 H2         NO3                                         HNO3       H                                            0.174E-11  0.268E+01  1611
 HNO3       H                                           H2O        NO2                                          0.283E-11  0.268E+01   655
 H2O        NO2                                         HNO3       H                                            0.124E-19  0.268E+01  1612
 HNO3       H                                           OH         HONO                                         0.723E-11  0.268E+01   656
 OH         HONO                                        HNO3       H                                            0.628E-16  0.268E+01  1613
 HNO3       OH                                          NO3        H2O                                          0.225E-13  0.268E+01   657
 NO3        H2O                                         HNO3       OH                                           0.183E-14  0.268E+01  1614
 NH3        O3P                                         NH2        OH                                           0.655E-11  0.268E+01   658
 NH2        OH                                          NH3        O3P                                          0.139E-11  0.268E+01  1615
 NH3        OH                                          NH2        H2O                                          0.159E-10  0.268E+01   659
 NH2        H2O                                         NH3        OH                                           0.811E-12  0.268E+01  1616
 NH3        OOH                                         NH2        H2O2                                         0.392E-14  0.268E+01   660
 NH2        H2O2                                        NH3        OOH                                          0.125E-12  0.268E+01  1617
 NH2        OOH                                         NH3        O2                                           0.282E-14  0.268E+01   661
 NH3        O2                                          NH2        OOH                                          0.160E-18  0.268E+01  1618
 NH2        O3P                                         H2         NO                                           0.831E-11  0.268E+01   662
 H2         NO                                          NH2        O3P                                          0.362E-18  0.268E+01  1619
 NH2        O3P                                         HNO        H                                            0.748E-10  0.268E+01   663
 HNO        H                                           NH2        O3P                                          0.871E-12  0.268E+01  1620
 NH2        O3P                                         NH         OH                                           0.116E-10  0.268E+01   664
 NH         OH                                          NH2        O3P                                          0.342E-12  0.268E+01  1621
 NH2        OH                                          NH         H2O                                          0.180E-10  0.268E+01   665
 NH         H2O                                         NH2        OH                                           0.127E-12  0.268E+01  1622
 NH2        OH                                          NH2OH                                                   0.140E-09  0.268E+01   666
 NH2OH                                                  NH2        OH                                           0.101E+11  0.268E+01  1623
 NH2        OOH                                         HNO        H2O                                          0.140E-11  0.268E+01   667
 HNO        H2O                                         NH2        OOH                                          0.124E-18  0.268E+01  1624
 NH2        OOH                                         H2NO       OH                                           0.135E-10  0.268E+01   668
 H2NO       OH                                          NH2        OOH                                          0.156E-12  0.268E+01  1625
 NH2        O2                                          HNO        OH                                           0.507E-13  0.268E+01   669
 HNO        OH                                          NH2        O2                                           0.155E-14  0.268E+01  1626
 NH2        O2                                          H2NO       O3P                                          0.138E-12  0.268E+01   670
 H2NO       O3P                                         NH2        O2                                           0.132E-09  0.268E+01  1627
 NH2        NO                                          NNH        OH                                           0.122E-11  0.268E+01   671
 NNH        OH                                          NH2        NO                                           0.775E-12  0.268E+01  1628
 NH2        NO                                          N2         H2O                                          0.439E-12  0.268E+01   672
 N2         H2O                                         NH2        NO                                           0.124E-22  0.268E+01  1629
 NH2        NO                                          H2         N2O                                          0.993E-14  0.268E+01   673
 H2         N2O                                         NH2        NO                                           0.677E-16  0.268E+01  1630
 NH2        NO2                                         N2O        H2O                                          0.370E-12  0.268E+01   674
 N2O        H2O                                         NH2        NO2                                          0.108E-19  0.268E+01  1631
 NH2        NO2                                         H2NO       NO                                           0.148E-11  0.268E+01   675
 H2NO       NO                                          NH2        NO2                                          0.144E-13  0.268E+01  1632
 NH         O3P                                         NO         H                                            0.116E-09  0.268E+01   676
 NO         H                                           NH         O3P                                          0.115E-15  0.268E+01  1633
 NH         O3P                                         N4S        OH                                           0.116E-10  0.268E+01   677
 N4S        OH                                          NH         O3P                                          0.164E-12  0.268E+01  1634
 NH         OH                                          HNO        H                                            0.332E-10  0.268E+01   678
 HNO        H                                           NH         OH                                           0.131E-10  0.268E+01  1635
 NH         OH                                          N4S        H2O                                          0.356E-10  0.268E+01   679
 N4S        H2O                                         NH         OH                                           0.121E-12  0.268E+01  1636
 NH         OH                                          NO         H2                                           0.332E-10  0.268E+01   680
 NO         H2                                          NH         OH                                           0.491E-16  0.268E+01  1637
 NH         OOH                                         HNO        OH                                           0.107E-10  0.268E+01   681
 HNO        OH                                          NH         OOH                                          0.134E-15  0.268E+01  1638
 NH         O2                                          HNO        O3P                                          0.129E-11  0.268E+01   682
 HNO        O3P                                         NH         O2                                           0.134E-11  0.268E+01  1639
 NH         O2                                          NO         OH                                           0.259E-12  0.268E+01   683
 NO         OH                                          NH         O2                                           0.672E-18  0.268E+01  1640
 NH         H2O                                         HNO        H2                                           0.157E-11  0.268E+01   684
 HNO        H2                                          NH         H2O                                          0.388E-11  0.268E+01  1641
 NH         N2O                                         N2         HNO                                          0.886E-12  0.268E+01   685
 N2         HNO                                         NH         N2O                                          0.902E-20  0.268E+01  1642
 NNH        O3P                                         NH         NO                                           0.138E-09  0.268E+01   686
 NH         NO                                          NNH        O3P                                          0.636E-11  0.268E+01  1643
 NH         NO                                          N2         OH                                           0.207E-11  0.268E+01   687
 N2         OH                                          NH         NO                                           0.824E-20  0.268E+01  1644
 N2H4       O3P                                         N2H2       H2O                                          0.108E-09  0.268E+01   688
 N2H2       H2O                                         N2H4       O3P                                          0.573E-18  0.268E+01  1645
 N2H4       O3P                                         N2H3       OH                                           0.319E-11  0.268E+01   689
 N2H3       OH                                          N2H4       O3P                                          0.473E-15  0.268E+01  1646
 N2H4       OH                                          N2H3       H2O                                          0.721E-11  0.268E+01   690
 N2H3       H2O                                         N2H4       OH                                           0.256E-15  0.268E+01  1647
 N2H4       OH                                          NH3        H2NO                                         0.610E-10  0.268E+01   691
 NH3        H2NO                                        N2H4       OH                                           0.343E-12  0.268E+01  1648
 N2H4       OOH                                         N2H3       H2O2                                         0.428E-10  0.268E+01   692
 N2H3       H2O2                                        N2H4       OOH                                          0.953E-12  0.268E+01  1649
 N2H3       O3P                                         N2H2       OH                                           0.267E-10  0.268E+01   693
 N2H2       OH                                          N2H3       O3P                                          0.396E-14  0.268E+01  1650
 N2H3       O3P                                         NNH        H2O                                          0.251E-10  0.268E+01   694
 NNH        H2O                                         N2H3       O3P                                          0.247E-20  0.268E+01  1651
 N2H3       O3P                                         NH2        HNO                                          0.166E-10  0.268E+01   695
 NH2        HNO                                         N2H3       O3P                                          0.429E-14  0.268E+01  1652
 N2H3       OH                                          N2H2       H2O                                          0.721E-11  0.268E+01   696
 N2H2       H2O                                         N2H3       OH                                           0.257E-15  0.268E+01  1653
 N2H3       OH                                          NH3        HNO                                          0.610E-13  0.268E+01   697
 NH3        HNO                                         N2H3       OH                                           0.741E-16  0.268E+01  1654
 N2H3       O2                                          N2H2       OOH                                          0.498E-11  0.268E+01   698
 N2H2       OOH                                         N2H3       O2                                           0.613E-10  0.268E+01  1655
 N2H3       OOH                                         N2H2       H2O2                                         0.107E-10  0.268E+01   699
 N2H2       H2O2                                        N2H3       OOH                                          0.238E-12  0.268E+01  1656
 N2H3       OOH                                         N2H4       O2                                           0.133E-10  0.268E+01   700
 N2H4       O2                                          N2H3       OOH                                          0.108E-11  0.268E+01  1657
 N2H3       NO                                          HNO        N2H2                                         0.166E-11  0.268E+01   701
 HNO        N2H2                                        N2H3       NO                                           0.986E-10  0.268E+01  1658
 N2H2       O3P                                         NH2        NO                                           0.166E-10  0.268E+01   702
 NH2        NO                                          N2H2       O3P                                          0.723E-16  0.268E+01  1659
 N2H2       O3P                                         NNH        OH                                           0.267E-10  0.268E+01   703
 NNH        OH                                          N2H2       O3P                                          0.738E-16  0.268E+01  1660
 N2H2       OH                                          NNH        H2O                                          0.348E-10  0.268E+01   704
 NNH        H2O                                         N2H2       OH                                           0.231E-16  0.268E+01  1661
 N2H2       OOH                                         NNH        H2O2                                         0.107E-10  0.268E+01   705
 NNH        H2O2                                        N2H2       OOH                                          0.445E-14  0.268E+01  1662
 N2H2       NO                                          N2O        NH2                                          0.498E-13  0.268E+01   706
 N2O        NH2                                         N2H2       NO                                           0.340E-13  0.268E+01  1663
 NNH        O3P                                         N2         OH                                           0.187E-11  0.268E+01   707
 N2         OH                                          NNH        O3P                                          0.345E-21  0.268E+01  1664
 NNH        OH                                          N2         H2O                                          0.495E-11  0.268E+01   708
 N2         H2O                                         NNH        OH                                           0.219E-21  0.268E+01  1665
 NNH        O2                                          N2         OOH                                          0.139E-12  0.268E+01   709
 N2         OOH                                         NNH        O2                                           0.213E-17  0.268E+01  1666
