nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 HCNO                                                   HCN        O3P                                          0.164E+06  0.268E+01    86
 HCN        O3P                                         HCNO                                                    0.323E-15  0.268E+01  1043
 HCNH                                                   HCN        H                                            0.226E+08  0.268E+01    87
 HCN        H                                           HCNH                                                    0.390E-14  0.268E+01  1044
 HNO2                                                   HONO                                                    0.492E+06  0.268E+01    88
 HONO                                                   HNO2                                                    0.212E+05  0.268E+01  1045
 C3H7O                                                  H2CO       C2H5                                         0.735E+12  0.268E+01    89
 H2CO       C2H5                                        C3H7O                                                   0.182E-18  0.268E+01  1046
 C3H7O                                                  H          C2H5CHO                                      0.735E+12  0.268E+01    90
 H          C2H5CHO                                     C3H7O                                                   0.275E-16  0.268E+01  1047
 C4H9O                                                  H2CO       1C3H7                                        0.735E+12  0.268E+01    91
 H2CO       1C3H7                                       C4H9O                                                   0.235E-18  0.268E+01  1048
 H2CN                                                   HCN        H                                            0.391E+06  0.268E+01    92
 HCN        H                                           H2CN                                                    0.969E-16  0.268E+01  1049
 1C4H9                                                  2C4H9                                                   0.966E+09  0.268E+01    93
 2C4H9                                                  1C4H9                                                   0.915E+09  0.268E+01  1050
 NNH                                                    N2         H                                            0.300E+09  0.268E+01    94
 N2         H                                           NNH                                                     0.333E-15  0.268E+01  1051
 nb reac fichier :           7          29
 C2H6                                                   C2H4       H2                                           0.439E+09  0.268E+01    95
 C2H4       H2                                          C2H6                                                    0.242E-13  0.268E+01  1052
 CHCO                                                   CH         CO                                           0.763E+08  0.268E+01    96
 CH         CO                                          CHCO                                                    0.710E-10  0.268E+01  1053
 1C2H4OH                                                CH3CHO     H                                            0.217E+10  0.268E+01    97
 CH3CHO     H                                           1C2H4OH                                                 0.698E-13  0.268E+01  1054
 NH                                                     N4S        H                                            0.850E+05  0.268E+01    98
 N4S        H                                           NH                                                      0.724E-11  0.268E+01  1055
 NH2                                                    NH         H                                            0.587E+06  0.268E+01    99
 NH         H                                           NH2                                                     0.104E-09  0.268E+01  1056
 NH3                                                    NH2        H                                            0.135E+06  0.268E+01   100
 NH2        H                                           NH3                                                     0.173E-09  0.268E+01  1057
 NH3                                                    NH         H2                                           0.394E+04  0.268E+01   101
 NH         H2                                          NH3                                                     0.222E-12  0.268E+01  1058
 N2H3                                                   NH2        NH                                           0.271E+09  0.268E+01   102
 NH2        NH                                          N2H3                                                    0.106E-08  0.268E+01  1059
 N2H3                                                   N2H2       H                                            0.119E+10  0.268E+01   103
 N2H2       H                                           N2H3                                                    0.106E-08  0.268E+01  1060
 HCN                                                    H          CN                                           0.399E+04  0.268E+01   104
 H          CN                                          HCN                                                     0.296E-09  0.268E+01  1061
 HNCO                                                   H          NCO                                          0.889E+02  0.268E+01   105
 H          NCO                                         HNCO                                                    0.146E-11  0.268E+01  1062
 H2CN                                                   HCN        H                                            0.126E+11  0.268E+01   106
 HCN        H                                           H2CN                                                    0.314E-11  0.268E+01  1063
 NCO                                                    N4S        CO                                           0.798E+07  0.268E+01   107
 N4S        CO                                          NCO                                                     0.511E-13  0.268E+01  1064
 CH3                                                    3CH2       H                                            0.295E+06  0.268E+01   108
 3CH2       H                                           CH3                                                     0.633E-09  0.268E+01  1065
 C2H2                                                   C2H        H                                            0.317E+05  0.268E+01   109
 C2H        H                                           C2H2                                                    0.116E-08  0.268E+01  1066
 C2H4                                                   C2H2       H2                                           0.679E+08  0.268E+01   110
 C2H2       H2                                          C2H4                                                    0.328E-13  0.268E+01  1067
 C2H4                                                   C2H3       H                                            0.200E+07  0.268E+01   111
 C2H3       H                                           C2H4                                                    0.906E-09  0.268E+01  1068
 HCO                                                    H          CO                                           0.194E+11  0.268E+01   112
 H          CO                                          HCO                                                     0.149E-11  0.268E+01  1069
 H2CO                                                   HCO        H                                            0.918E+06  0.268E+01   113
 HCO        H                                           H2CO                                                    0.932E-11  0.268E+01  1070
 H2CO                                                   H2         CO                                           0.214E+07  0.268E+01   114
 H2         CO                                          H2CO                                                    0.413E-18  0.268E+01  1071
 CH3O                                                   H2CO       H                                            0.382E+11  0.268E+01   115
 H2CO       H                                           CH3O                                                    0.583E-12  0.268E+01  1072
 CH2OH                                                  H2CO       H                                            0.821E+11  0.268E+01   116
 H2CO       H                                           CH2OH                                                   0.785E-10  0.268E+01  1073
 CH2CO                                                  1CH2       CO                                           0.978E+08  0.268E+01   117
 1CH2       CO                                          CH2CO                                                   0.209E-09  0.268E+01  1074
 CH2CO                                                  CHCO       H                                            0.468E+07  0.268E+01   118
 CHCO       H                                           CH2CO                                                   0.914E-09  0.268E+01  1075
 NO                                                     N4S        O3P                                          0.336E-01  0.268E+01   119
 N4S        O3P                                         NO                                                      0.289E-11  0.268E+01  1076
 N2                                                     N4S        N4S                                          0.106E-06  0.268E+01   120
 N4S        N4S                                         N2                                                      0.323E-10  0.268E+01  1077
 NNH                                                    N2         H                                            0.131E+13  0.268E+01   121
 N2         H                                           NNH                                                     0.145E-11  0.268E+01  1078
 N2H2                                                   NNH        H                                            0.815E+10  0.268E+01   122
 NNH        H                                           N2H2                                                    0.136E-09  0.268E+01  1079
 N2H2                                                   NH         NH                                           0.971E+05  0.268E+01   123
 NH         NH                                          N2H2                                                    0.756E-10  0.268E+01  1080
 N2H4                                                   N2H3       H                                            0.441E+07  0.268E+01   124
 N2H3       H                                           N2H4                                                    0.394E-11  0.268E+01  1081
 H2NO                                                   H2         NO                                           0.281E+06  0.268E+01   125
 H2         NO                                          H2NO                                                    0.203E-18  0.268E+01  1082
 H2NO                                                   HNO        H                                            0.291E+07  0.268E+01   126
 HNO        H                                           H2NO                                                    0.562E-12  0.268E+01  1083
 HNOH                                                   HNO        H                                            0.720E+07  0.268E+01   127
 HNO        H                                           HNOH                                                    0.556E-12  0.268E+01  1084
 HNCO                                                   NH         CO                                           0.354E+06  0.268E+01   128
 NH         CO                                          HNCO                                                    0.439E-12  0.268E+01  1085
 HON                                                    NO         H                                            0.157E+11  0.268E+01   129
 NO         H                                           HON                                                     0.300E-13  0.268E+01  1086
 C2N2                                                   CN         CN                                           0.562E+05  0.268E+01   130
 CN         CN                                          C2N2                                                    0.821E-09  0.268E+01  1087
 nb reac fichier :           8          36
 C2H3                                                   C2H2       H                                            0.403E+10  0.268E+01   131
 C2H2       H                                           C2H3                                                    0.173E-10  0.268E+01  1088
