# wavelength (nm), cross section(cm^2)
1.017000e+02, 9.226000e-18
1.018000e+02, 9.226000e-18
1.019000e+02, 9.226000e-18
1.020000e+02, 9.226000e-18
1.021000e+02, 9.226000e-18
1.022000e+02, 9.226000e-18
1.023000e+02, 9.226000e-18
1.024000e+02, 9.226000e-18
1.025000e+02, 9.226000e-18
1.026000e+02, 9.226000e-18
1.027000e+02, 9.226000e-18
1.028000e+02, 9.226000e-18
1.029000e+02, 9.226000e-18
1.030000e+02, 9.226000e-18
1.031000e+02, 9.226000e-18
1.032000e+02, 9.226000e-18
1.033000e+02, 9.226000e-18
1.034000e+02, 9.226000e-18
1.035000e+02, 9.226000e-18
1.036000e+02, 9.226000e-18
1.037000e+02, 9.226000e-18
1.038000e+02, 9.226000e-18
1.039000e+02, 9.226000e-18
1.040000e+02, 9.226000e-18
1.041000e+02, 9.226000e-18
1.042000e+02, 9.226000e-18
1.043000e+02, 9.226000e-18
1.044000e+02, 9.226000e-18
1.045000e+02, 9.226000e-18
1.046000e+02, 9.226000e-18
1.047000e+02, 9.226000e-18
1.048000e+02, 9.226000e-18
1.049000e+02, 9.226000e-18
1.050000e+02, 9.226000e-18
1.051000e+02, 9.226000e-18
1.052000e+02, 9.226000e-18
1.053000e+02, 9.226000e-18
1.054000e+02, 9.226000e-18
1.055000e+02, 9.226000e-18
1.056000e+02, 9.226000e-18
1.057000e+02, 9.226000e-18
1.058000e+02, 9.226000e-18
1.059000e+02, 9.226000e-18
1.060000e+02, 9.226000e-18
1.061000e+02, 9.226000e-18
1.062000e+02, 9.226000e-18
1.063000e+02, 9.226000e-18
1.064000e+02, 9.226000e-18
1.065000e+02, 9.226000e-18
1.066000e+02, 9.226000e-18
1.067000e+02, 9.226000e-18
1.068000e+02, 9.226000e-18
1.069000e+02, 9.226000e-18
1.070000e+02, 9.226000e-18
1.071000e+02, 9.226000e-18
1.072000e+02, 9.226000e-18
1.073000e+02, 9.226000e-18
1.074000e+02, 9.226000e-18
1.075000e+02, 9.226000e-18
1.076000e+02, 9.226000e-18
1.077000e+02, 9.226000e-18
1.078000e+02, 9.226000e-18
1.079000e+02, 9.226000e-18
1.080000e+02, 9.226000e-18
1.081000e+02, 9.226000e-18
