(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
4.926E+07  1518.0  9.00E+07  4.06E-04  5.93E-05  7.45E-04  1.98E-08  8.37E-01  1.62E-01  2.29E-10  5.48E-05  2.71E-05  1.00E-07
4.460E+07  1517.0  9.24E+07  3.96E-04  6.90E-05  7.35E-04  2.27E-08  8.37E-01  1.62E-01  2.61E-10  5.54E-05  2.60E-05  1.13E-07
4.036E+07  1518.0  9.50E+07  3.84E-04  8.13E-05  7.23E-04  2.63E-08  8.36E-01  1.62E-01  3.05E-10  5.59E-05  2.48E-05  1.29E-07
3.651E+07  1521.0  9.74E+07  3.68E-04  9.65E-05  7.08E-04  3.04E-08  8.37E-01  1.62E-01  3.66E-10  5.65E-05  2.37E-05  1.51E-07
3.303E+07  1525.0  1.00E+08  3.51E-04  1.14E-04  6.90E-04  3.49E-08  8.37E-01  1.62E-01  4.41E-10  5.70E-05  2.26E-05  1.77E-07
2.991E+07  1528.0  1.02E+08  3.33E-04  1.32E-04  6.72E-04  3.91E-08  8.37E-01  1.62E-01  5.15E-10  5.75E-05  2.16E-05  2.04E-07
2.704E+07  1527.0  1.05E+08  3.16E-04  1.49E-04  6.55E-04  4.31E-08  8.37E-01  1.62E-01  5.56E-10  5.80E-05  2.06E-05  2.23E-07
2.448E+07  1526.0  1.07E+08  2.98E-04  1.66E-04  6.38E-04  4.69E-08  8.37E-01  1.62E-01  5.93E-10  5.85E-05  1.96E-05  2.42E-07
2.215E+07  1527.0  1.10E+08  2.78E-04  1.86E-04  6.18E-04  5.08E-08  8.37E-01  1.62E-01  6.43E-10  5.89E-05  1.87E-05  2.66E-07
2.004E+07  1531.0  1.12E+08  2.55E-04  2.10E-04  5.94E-04  5.47E-08  8.37E-01  1.62E-01  7.14E-10  5.94E-05  1.77E-05  2.98E-07
1.815E+07  1540.0  1.15E+08  2.27E-04  2.38E-04  5.67E-04  5.82E-08  8.37E-01  1.62E-01  8.34E-10  5.99E-05  1.67E-05  3.47E-07
1.642E+07  1550.0  1.18E+08  1.99E-04  2.66E-04  5.38E-04  6.10E-08  8.37E-01  1.62E-01  9.53E-10  6.03E-05  1.57E-05  3.99E-07
1.487E+07  1560.0  1.20E+08  1.72E-04  2.93E-04  5.11E-04  6.29E-08  8.37E-01  1.62E-01  1.06E-09  6.08E-05  1.48E-05  4.53E-07
1.346E+07  1568.0  1.23E+08  1.47E-04  3.17E-04  4.87E-04  6.41E-08  8.37E-01  1.62E-01  1.12E-09  6.12E-05  1.40E-05  4.99E-07
1.217E+07  1573.0  1.25E+08  1.27E-04  3.37E-04  4.67E-04  6.48E-08  8.37E-01  1.62E-01  1.12E-09  6.15E-05  1.32E-05  5.32E-07
1.102E+07  1577.0  1.28E+08  1.10E-04  3.55E-04  4.49E-04  6.53E-08  8.37E-01  1.62E-01  1.10E-09  6.18E-05  1.26E-05  5.62E-07
9.969E+06  1578.0  1.30E+08  9.57E-05  3.69E-04  4.35E-04  6.56E-08  8.37E-01  1.62E-01  1.04E-09  6.21E-05  1.20E-05  5.81E-07
9.020E+06  1577.0  1.33E+08  8.38E-05  3.81E-04  4.24E-04  6.60E-08  8.38E-01  1.62E-01  9.60E-10  6.23E-05  1.16E-05  5.90E-07
8.164E+06  1576.0  1.36E+08  7.36E-05  3.91E-04  4.13E-04  6.62E-08  8.37E-01  1.62E-01  8.86E-10  6.25E-05  1.12E-05  6.03E-07
