(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
9.808E+02  1027.4  3.21E+08  1.42E-08  4.65E-04  3.40E-04  2.42E-07  8.37E-01  1.62E-01  1.63E-16  6.86E-05  3.05E-09  2.17E-11
7.928E+02  1024.8  3.24E+08  9.95E-09  4.65E-04  3.40E-04  2.45E-07  8.37E-01  1.62E-01  1.08E-16  6.86E-05  2.50E-09  1.76E-11
6.408E+02  1022.4  3.28E+08  6.92E-09  4.65E-04  3.40E-04  2.47E-07  8.37E-01  1.62E-01  7.14E-17  6.86E-05  2.05E-09  1.42E-11
5.179E+02  1019.7  3.31E+08  4.85E-09  4.65E-04  3.40E-04  2.50E-07  8.37E-01  1.62E-01  4.73E-17  6.86E-05  1.69E-09  1.15E-11
4.186E+02  1016.8  3.35E+08  3.42E-09  4.65E-04  3.40E-04  2.52E-07  8.37E-01  1.62E-01  3.14E-17  6.86E-05  1.39E-09  9.32E-12
3.384E+02  1013.0  3.39E+08  2.47E-09  4.65E-04  3.40E-04  2.56E-07  8.37E-01  1.62E-01  2.10E-17  6.86E-05  1.15E-09  7.55E-12
2.735E+02  1007.6  3.42E+08  1.86E-09  4.65E-04  3.40E-04  2.62E-07  8.37E-01  1.62E-01  1.41E-17  6.86E-05  9.64E-10  6.12E-12
2.211E+02  1002.0  3.46E+08  1.41E-09  4.65E-04  3.40E-04  2.68E-07  8.37E-01  1.62E-01  9.51E-18  6.86E-05  8.09E-10  4.96E-12
1.787E+02   995.0  3.49E+08  1.12E-09  4.65E-04  3.40E-04  2.76E-07  8.37E-01  1.62E-01  6.46E-18  6.86E-05  6.85E-10  4.03E-12
1.444E+02   987.9  3.53E+08  8.85E-10  4.65E-04  3.40E-04  2.85E-07  8.37E-01  1.62E-01  4.39E-18  6.86E-05  5.80E-10  3.27E-12
1.167E+02   981.3  3.56E+08  6.95E-10  4.65E-04  3.40E-04  2.93E-07  8.37E-01  1.62E-01  2.98E-18  6.86E-05  4.91E-10  2.65E-12
9.436E+01   972.9  3.60E+08  5.77E-10  4.65E-04  3.40E-04  3.04E-07  8.37E-01  1.62E-01  2.05E-18  6.86E-05  4.21E-10  2.15E-12
7.627E+01   964.5  3.63E+08  4.80E-10  4.65E-04  3.40E-04  3.16E-07  8.37E-01  1.62E-01  1.41E-18  6.86E-05  3.61E-10  1.75E-12
6.165E+01   955.9  3.66E+08  4.03E-10  4.65E-04  3.40E-04  3.28E-07  8.37E-01  1.62E-01  9.68E-19  6.86E-05  3.10E-10  1.42E-12
4.983E+01   946.0  3.70E+08  3.54E-10  4.65E-04  3.40E-04  3.44E-07  8.37E-01  1.62E-01  6.73E-19  6.86E-05  2.69E-10  1.16E-12
4.028E+01   936.7  3.73E+08  3.07E-10  4.65E-04  3.40E-04  3.59E-07  8.37E-01  1.62E-01  4.66E-19  6.86E-05  2.33E-10  9.39E-13
3.255E+01   927.1  3.76E+08  2.70E-10  4.65E-04  3.40E-04  3.77E-07  8.37E-01  1.62E-01  3.24E-19  6.86E-05  2.03E-10  7.63E-13
2.631E+01   917.7  3.80E+08  2.38E-10  4.65E-04  3.40E-04  3.95E-07  8.37E-01  1.62E-01  2.25E-19  6.86E-05  1.76E-10  6.20E-13
2.127E+01   909.3  3.83E+08  2.04E-10  4.65E-04  3.40E-04  4.12E-07  8.37E-01  1.62E-01  1.55E-19  6.86E-05  1.52E-10  5.04E-13
1.719E+01   900.6  3.86E+08  1.77E-10  4.65E-04  3.40E-04  4.32E-07  8.37E-01  1.62E-01  1.08E-19  6.86E-05  1.32E-10  4.10E-13
1.389E+01   892.8  3.89E+08  1.50E-10  4.65E-04  3.40E-04  4.50E-07  8.37E-01  1.62E-01  7.41E-20  6.86E-05  1.14E-10  3.33E-13
1.123E+01   885.9  3.92E+08  1.24E-10  4.65E-04  3.40E-04  4.67E-07  8.37E-01  1.62E-01  5.08E-20  6.86E-05  9.72E-11  2.70E-13
