(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
5.225E+04  1151.5  2.50E+08  1.24E-05  4.52E-04  3.53E-04  1.58E-07  8.37E-01  1.62E-01  1.14E-11  6.19E-05  1.26E-05  6.52E-07
4.409E+04  1138.5  2.53E+08  1.24E-05  4.52E-04  3.53E-04  1.64E-07  8.37E-01  1.62E-01  1.48E-11  6.19E-05  1.26E-05  6.67E-07
3.719E+04  1128.3  2.57E+08  1.24E-05  4.52E-04  3.53E-04  1.69E-07  8.37E-01  1.62E-01  2.30E-11  6.19E-05  1.26E-05  6.84E-07
3.138E+04  1119.6  2.60E+08  1.23E-05  4.52E-04  3.53E-04  1.74E-07  8.37E-01  1.62E-01  3.85E-11  6.19E-05  1.25E-05  7.03E-07
2.647E+04  1112.1  2.63E+08  1.23E-05  4.52E-04  3.53E-04  1.79E-07  8.37E-01  1.62E-01  6.45E-11  6.19E-05  1.25E-05  7.25E-07
2.234E+04  1103.6  2.66E+08  1.23E-05  4.52E-04  3.53E-04  1.83E-07  8.37E-01  1.62E-01  1.03E-10  6.19E-05  1.25E-05  7.50E-07
1.884E+04  1095.9  2.69E+08  1.23E-05  4.52E-04  3.53E-04  1.88E-07  8.37E-01  1.62E-01  1.55E-10  6.19E-05  1.25E-05  7.79E-07
1.590E+04  1087.5  2.72E+08  1.22E-05  4.52E-04  3.53E-04  1.93E-07  8.37E-01  1.62E-01  2.19E-10  6.19E-05  1.24E-05  8.11E-07
1.341E+04  1079.1  2.75E+08  1.22E-05  4.52E-04  3.53E-04  1.99E-07  8.37E-01  1.62E-01  2.94E-10  6.19E-05  1.24E-05  8.48E-07
1.132E+04  1071.3  2.78E+08  1.21E-05  4.52E-04  3.53E-04  2.04E-07  8.37E-01  1.62E-01  3.80E-10  6.19E-05  1.23E-05  8.90E-07
9.547E+03  1064.3  2.81E+08  1.21E-05  4.52E-04  3.53E-04  2.08E-07  8.37E-01  1.62E-01  4.76E-10  6.19E-05  1.23E-05  9.37E-07
8.055E+03  1058.5  2.84E+08  1.20E-05  4.52E-04  3.53E-04  2.13E-07  8.37E-01  1.62E-01  5.83E-10  6.19E-05  1.22E-05  9.91E-07
6.795E+03  1053.5  2.87E+08  1.20E-05  4.52E-04  3.53E-04  2.17E-07  8.37E-01  1.62E-01  7.01E-10  6.19E-05  1.22E-05  1.05E-06
5.733E+03  1049.4  2.90E+08  1.19E-05  4.52E-04  3.53E-04  2.21E-07  8.37E-01  1.62E-01  8.30E-10  6.19E-05  1.21E-05  1.12E-06
4.837E+03  1046.0  2.93E+08  1.18E-05  4.52E-04  3.53E-04  2.24E-07  8.37E-01  1.62E-01  9.71E-10  6.19E-05  1.20E-05  1.20E-06
4.081E+03  1043.5  2.96E+08  1.17E-05  4.52E-04  3.53E-04  2.27E-07  8.37E-01  1.62E-01  1.13E-09  6.19E-05  1.19E-05  1.29E-06
3.443E+03  1041.5  2.99E+08  1.16E-05  4.52E-04  3.53E-04  2.29E-07  8.37E-01  1.62E-01  1.30E-09  6.19E-05  1.18E-05  1.39E-06
2.905E+03  1039.8  3.02E+08  1.15E-05  4.52E-04  3.53E-04  2.31E-07  8.37E-01  1.62E-01  1.49E-09  6.19E-05  1.17E-05  1.50E-06
2.451E+03  1038.3  3.05E+08  1.14E-05  4.52E-04  3.53E-04  2.33E-07  8.37E-01  1.62E-01  1.69E-09  6.19E-05  1.16E-05  1.63E-06
2.067E+03  1036.3  3.08E+08  1.12E-05  4.52E-04  3.53E-04  2.35E-07  8.37E-01  1.62E-01  1.89E-09  6.19E-05  1.14E-05  1.78E-06
1.744E+03  1034.4  3.10E+08  1.11E-05  4.52E-04  3.53E-04  2.37E-07  8.37E-01  1.62E-01  2.11E-09  6.19E-05  1.12E-05  1.95E-06
1.472E+03  1032.2  3.13E+08  1.09E-05  4.52E-04  3.53E-04  2.39E-07  8.37E-01  1.62E-01  2.34E-09  6.19E-05  1.10E-05  2.14E-06
1.242E+03  1030.3  3.16E+08  1.07E-05  4.52E-04  3.53E-04  2.41E-07  8.37E-01  1.62E-01  2.58E-09  6.19E-05  1.08E-05  2.36E-06
1.047E+03  1028.1  3.19E+08  1.04E-05  4.52E-04  3.53E-04  2.43E-07  8.37E-01  1.62E-01  2.83E-09  6.19E-05  1.05E-05  2.61E-06
