(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
3.543E+07  1522.6  1.99E+08  3.48E-04  1.04E-04  7.05E-04  3.29E-08  8.36E-01  1.62E-01  4.60E-10  6.23E-05  1.20E-05  5.46E-08
3.179E+07  1525.5  2.02E+08  3.30E-04  1.22E-04  6.87E-04  3.75E-08  8.36E-01  1.62E-01  5.29E-10  6.29E-05  1.08E-05  5.94E-08
2.852E+07  1527.2  2.05E+08  3.11E-04  1.41E-04  6.68E-04  4.20E-08  8.36E-01  1.62E-01  6.00E-10  6.34E-05  9.73E-06  6.38E-08
2.574E+07  1526.8  2.08E+08  2.94E-04  1.58E-04  6.51E-04  4.59E-08  8.36E-01  1.62E-01  6.42E-10  6.39E-05  8.78E-06  6.59E-08
2.316E+07  1527.1  2.11E+08  2.75E-04  1.78E-04  6.32E-04  5.00E-08  8.36E-01  1.62E-01  6.96E-10  6.43E-05  7.89E-06  6.87E-08
2.064E+07  1530.2  2.14E+08  2.49E-04  2.03E-04  6.06E-04  5.45E-08  8.37E-01  1.62E-01  7.75E-10  6.48E-05  6.99E-06  7.32E-08
1.822E+07  1540.4  2.17E+08  2.15E-04  2.37E-04  5.72E-04  5.92E-08  8.37E-01  1.62E-01  9.05E-10  6.52E-05  6.10E-06  8.10E-08
1.605E+07  1552.5  2.21E+08  1.81E-04  2.72E-04  5.37E-04  6.27E-08  8.37E-01  1.62E-01  1.02E-09  6.56E-05  5.29E-06  8.82E-08
1.419E+07  1563.8  2.24E+08  1.49E-04  3.03E-04  5.06E-04  6.49E-08  8.37E-01  1.62E-01  1.11E-09  6.60E-05  4.58E-06  9.32E-08
1.255E+07  1571.1  2.27E+08  1.21E-04  3.31E-04  4.78E-04  6.59E-08  8.37E-01  1.62E-01  1.15E-09  6.63E-05  3.99E-06  9.61E-08
1.124E+07  1575.3  2.30E+08  1.04E-04  3.48E-04  4.61E-04  6.67E-08  8.37E-01  1.62E-01  1.09E-09  6.65E-05  3.53E-06  9.32E-08
1.007E+07  1577.8  2.34E+08  8.89E-05  3.63E-04  4.45E-04  6.72E-08  8.37E-01  1.62E-01  1.02E-09  6.67E-05  3.15E-06  9.00E-08
9.020E+06  1576.9  2.37E+08  7.53E-05  3.77E-04  4.32E-04  6.75E-08  8.37E-01  1.62E-01  9.42E-10  6.68E-05  2.83E-06  8.68E-08
8.079E+06  1575.6  2.40E+08  6.34E-05  3.89E-04  4.20E-04  6.76E-08  8.37E-01  1.62E-01  8.59E-10  6.70E-05  2.55E-06  8.33E-08
7.254E+06  1574.0  2.44E+08  5.40E-05  3.98E-04  4.10E-04  6.77E-08  8.37E-01  1.62E-01  7.66E-10  6.71E-05  2.32E-06  7.92E-08
6.516E+06  1573.4  2.47E+08  4.59E-05  4.06E-04  4.02E-04  6.78E-08  8.37E-01  1.62E-01  6.77E-10  6.72E-05  2.12E-06  7.51E-08
5.853E+06  1572.7  2.50E+08  3.89E-05  4.13E-04  3.95E-04  6.79E-08  8.37E-01  1.62E-01  5.93E-10  6.73E-05  1.94E-06  7.12E-08
5.257E+06  1571.9  2.53E+08  3.28E-05  4.20E-04  3.89E-04  6.80E-08  8.37E-01  1.62E-01  5.16E-10  6.74E-05  1.79E-06  6.73E-08
4.722E+06  1569.8  2.57E+08  2.77E-05  4.25E-04  3.84E-04  6.80E-08  8.37E-01  1.62E-01  4.48E-10  6.74E-05  1.65E-06  6.37E-08
4.246E+06  1567.2  2.60E+08  2.37E-05  4.29E-04  3.80E-04  6.83E-08  8.37E-01  1.62E-01  3.80E-10  6.75E-05  1.54E-06  6.01E-08
3.819E+06  1563.3  2.63E+08  2.04E-05  4.32E-04  3.77E-04  6.86E-08  8.37E-01  1.62E-01  3.24E-10  6.75E-05  1.45E-06  5.69E-08
3.434E+06  1558.5  2.67E+08  1.76E-05  4.35E-04  3.74E-04  6.89E-08  8.37E-01  1.62E-01  2.77E-10  6.76E-05  1.37E-06  5.41E-08
3.088E+06  1553.4  2.70E+08  1.52E-05  4.37E-04  3.71E-04  6.93E-08  8.37E-01  1.62E-01  2.36E-10  6.76E-05  1.31E-06  5.15E-08
2.775E+06  1547.3  2.73E+08  1.34E-05  4.39E-04  3.70E-04  6.99E-08  8.37E-01  1.62E-01  1.99E-10  6.76E-05  1.26E-06  4.92E-08
2.502E+06  1541.0  2.76E+08  1.18E-05  4.41E-04  3.68E-04  7.05E-08  8.37E-01  1.62E-01  1.70E-10  6.77E-05  1.22E-06  4.73E-08
2.255E+06  1533.9  2.80E+08  1.05E-05  4.42E-04  3.67E-04  7.11E-08  8.37E-01  1.62E-01  1.45E-10  6.77E-05  1.19E-06  4.55E-08
2.030E+06  1526.0  2.83E+08  9.47E-06  4.43E-04  3.66E-04  7.20E-08  8.37E-01  1.62E-01  1.24E-10  6.77E-05  1.16E-06  4.39E-08
1.827E+06  1518.2  2.86E+08  8.61E-06  4.44E-04  3.65E-04  7.28E-08  8.37E-01  1.62E-01  1.07E-10  6.77E-05  1.15E-06  4.25E-08
1.642E+06  1509.5  2.89E+08  7.91E-06  4.45E-04  3.64E-04  7.39E-08  8.37E-01  1.62E-01  9.17E-11  6.77E-05  1.13E-06  4.12E-08
1.475E+06  1500.9  2.92E+08  7.32E-06  4.45E-04  3.63E-04  7.50E-08  8.37E-01  1.62E-01  7.94E-11  6.77E-05  1.12E-06  3.99E-08
1.321E+06  1492.4  2.96E+08  6.81E-06  4.46E-04  3.63E-04  7.60E-08  8.37E-01  1.62E-01  7.14E-11  6.77E-05  1.12E-06  3.88E-08
1.187E+06  1483.0  2.99E+08  6.40E-06  4.46E-04  3.63E-04  7.70E-08  8.37E-01  1.62E-01  6.52E-11  6.77E-05  1.11E-06  3.78E-08
1.065E+06  1473.9  3.02E+08  6.06E-06  4.46E-04  3.62E-04  7.82E-08  8.37E-01  1.62E-01  6.00E-11  6.77E-05  1.11E-06  3.69E-08
9.541E+05  1464.8  3.05E+08  5.81E-06  4.47E-04  3.62E-04  7.94E-08  8.37E-01  1.62E-01  5.58E-11  6.77E-05  1.11E-06  3.60E-08
8.541E+05  1455.3  3.08E+08  5.62E-06  4.47E-04  3.62E-04  8.07E-08  8.37E-01  1.62E-01  5.27E-11  6.77E-05  1.10E-06  3.52E-08
7.628E+05  1445.4  3.11E+08  5.49E-06  4.47E-04  3.62E-04  8.21E-08  8.37E-01  1.62E-01  4.99E-11  6.77E-05  1.10E-06  3.45E-08
6.804E+05  1434.7  3.14E+08  5.39E-06  4.47E-04  3.62E-04  8.36E-08  8.37E-01  1.62E-01  4.74E-11  6.77E-05  1.10E-06  3.39E-08
6.077E+05  1423.2  3.17E+08  5.33E-06  4.47E-04  3.61E-04  8.53E-08  8.37E-01  1.62E-01  4.43E-11  6.77E-05  1.10E-06  3.34E-08
5.416E+05  1411.4  3.20E+08  5.28E-06  4.47E-04  3.61E-04  8.72E-08  8.37E-01  1.62E-01  4.09E-11  6.77E-05  1.10E-06  3.29E-08
4.819E+05  1399.0  3.23E+08  5.25E-06  4.47E-04  3.61E-04  8.94E-08  8.37E-01  1.62E-01  3.74E-11  6.77E-05  1.10E-06  3.26E-08
4.272E+05  1385.5  3.26E+08  5.23E-06  4.47E-04  3.61E-04  9.16E-08  8.37E-01  1.62E-01  3.43E-11  6.77E-05  1.10E-06  3.24E-08
3.797E+05  1372.3  3.29E+08  5.22E-06  4.47E-04  3.61E-04  9.39E-08  8.37E-01  1.62E-01  3.11E-11  6.77E-05  1.10E-06  3.22E-08
3.362E+05  1358.5  3.32E+08  5.21E-06  4.47E-04  3.61E-04  9.67E-08  8.37E-01  1.62E-01  2.74E-11  6.77E-05  1.10E-06  3.21E-08
