# WL(nm)	 Flux(ergs/cm**2/s/nm)
115.8784    	5.61E+05
115.8796    	3.13E+05
115.8844    	2.46E+05
115.8856    	7.51E+04
115.894     	2.02E+05
115.8952    	3.36E+05
115.8964    	5.69E+05
115.8976    	3.76E+05
115.8988    	1.83E+05
115.9       	5.04E+05
115.9012    	2.76E+05
115.9024    	4.68E+05
115.9036    	4.87E+05
115.9048    	2.52E+05
115.906     	2.29E+05
115.9072    	2.52E+05
115.9084    	3.65E+05
115.9096    	1.49E+05
115.9108    	1.37E+05
115.912     	2.56E+05
115.9144    	2.75E+04
115.9168    	1.90E+05
115.918     	1.55E+05
115.9192    	8.85E+04
115.9204    	2.24E+05
115.9216    	3.25E+05
115.9228    	1.55E+05
115.924     	2.88E+05
115.9252    	2.01E+03
115.9264    	8.03E+04
115.9276    	2.07E+05
115.936     	1.46E+04
115.9408    	7.95E+04
115.942     	3.05E+04
115.9468    	2.10E+05
115.9528    	1.72E+05
115.954     	7.11E+04
115.9588    	7.33E+04
115.9648    	1.68E+05
115.9672    	3.22E+04
115.9684    	1.42E+05
115.9732    	2.39E+04
115.9744    	5.55E+05
115.9756    	5.74E+05
115.9768    	3.37E+05
115.978     	2.79E+05
115.9792    	2.87E+05
115.9804    	4.55E+05
115.9876    	2.20E+05
115.9888    	2.63E+05
115.99      	1.71E+05
115.9912    	2.34E+05
115.9924    	3.78E+05
115.9936    	3.25E+05
115.9948    	5.93E+04
115.996     	9.61E+04
115.9972    	3.34E+05
115.9984    	3.27E+05
115.9996    	1.70E+05
116.0008    	2.00E+05
116.002     	2.13E+05
116.0032    	1.32E+05
116.0044    	5.19E+04
116.0056    	1.25E+05
116.0068    	3.30E+05
116.008     	3.49E+04
116.0104    	9.71E+04
116.0116    	4.36E+04
116.0152    	8.97E+04
116.0164    	2.01E+04
116.0176    	2.32E+05
116.0188    	1.94E+05
116.02      	1.20E+05
116.0236    	4.88E+05
116.0248    	5.07E+03
116.026     	2.99E+05
116.0272    	6.22E+04
116.0284    	6.74E+04
116.032     	1.18E+05
116.0332    	6.03E+04
116.0344    	9.22E+04
116.0356    	1.61E+05
116.0368    	2.68E+05
116.0416    	2.25E+05
116.0476    	3.08E+05
116.0512    	9.75E+04
116.0524    	2.12E+05
116.0536    	4.69E+03
116.0572    	1.60E+05
116.0584    	3.09E+05
116.0596    	1.87E+05
116.0608    	1.24E+05
116.0716    	1.85E+05
116.0728    	2.79E+05
116.074     	2.30E+05
116.0752    	2.95E+05
116.0764    	2.56E+05
116.0776    	1.13E+05
116.0788    	1.59E+05
116.08      	2.62E+05
116.0812    	2.25E+04
116.0824    	2.06E+05
116.0836    	6.24E+05
116.0848    	3.95E+05
116.086     	1.39E+05
116.098     	3.67E+05
116.0992    	3.72E+05
116.1016    	1.17E+05
116.1028    	1.47E+05
116.104     	1.15E+05
116.1052    	2.99E+05
116.1064    	1.31E+05
116.1076    	8.50E+04
116.1088    	1.92E+05
116.11      	1.47E+05
116.1136    	8.21E+04
116.1148    	1.72E+05
116.116     	3.23E+05
116.1172    	9.74E+04
116.1184    	4.00E+04
116.1196    	3.11E+04
116.1208    	2.44E+05
116.122     	1.46E+05
116.1232    	4.30E+04
116.1244    	7.58E+03
116.128     	5.43E+04
116.1292    	1.87E+05
116.1328    	2.37E+05
116.134     	3.46E+05
116.1352    	4.19E+05
116.1364    	3.43E+05
116.1388    	8.71E+04
116.14      	1.97E+05
116.1412    	6.77E+04
116.1424    	4.39E+05
116.1436    	3.00E+05
116.1472    	5.20E+04
116.1508    	4.60E+03
116.1556    	1.34E+05
116.1568    	1.22E+05
116.1592    	2.83E+05
116.1604    	1.17E+05
116.1616    	3.16E+05
116.1628    	1.82E+05
116.164     	1.46E+05
116.1652    	1.51E+05
116.1664    	2.13E+05
116.1676    	5.40E+05
116.1688    	5.14E+05
116.17      	3.34E+05
116.1712    	2.55E+05
116.1724    	4.09E+04
116.1736    	1.51E+04
116.1748    	1.79E+04
116.176     	1.48E+05
116.1772    	7.09E+04
116.1808    	5.81E+04
116.182     	1.07E+04
116.1868    	6.69E+03
116.188     	1.19E+05
116.1904    	7.29E+04
116.194     	3.73E+05
116.1952    	1.22E+05
116.1964    	5.37E+05
116.1976    	2.66E+05
116.1988    	2.60E+05
116.2       	1.36E+05
116.2048    	3.83E+05
116.206     	2.57E+05
116.2072    	2.81E+04
116.2192    	1.58E+05
116.2204    	1.14E+05
116.2216    	4.36E+04
116.2276    	2.38E+05
116.2288    	2.07E+05
116.23      	9.65E+04
116.2348    	8.98E+01
116.236     	1.58E+05
116.2372    	1.57E+05
116.2384    	2.88E+04
116.2396    	7.40E+04
116.2408    	1.19E+05
116.2456    	1.79E+04
116.2468    	5.26E+04
116.248     	1.27E+05
116.2492    	5.87E+05
116.254     	2.42E+05
116.2564    	8.29E+04
116.2612    	2.99E+05
116.2624    	1.71E+05
116.2648    	2.40E+05
116.266     	4.48E+04
116.2684    	1.59E+05
116.2696    	1.31E+05
116.2708    	1.46E+05
116.272     	6.83E+02
116.2744    	2.09E+05
116.2756    	1.92E+05
116.2792    	9.53E+03
116.2804    	2.36E+04
116.2852    	3.25E+04
116.2864    	1.23E+05
116.2876    	5.83E+04
116.2888    	4.16E+04
116.29      	2.77E+05
116.2912    	3.86E+05
116.2948    	1.00E+05
116.296     	2.08E+05
116.2972    	1.38E+05
116.2996    	1.57E+05
116.302     	1.29E+05
116.3092    	4.93E+04
116.3128    	4.19E+04
116.314     	4.29E+04
116.3224    	1.98E+05
116.3236    	2.38E+05
116.3296    	1.01E+05
116.3332    	3.57E+05
116.3344    	2.40E+05
116.3356    	2.32E+05
116.3368    	3.49E+04
116.3404    	5.80E+05
116.3416    	4.65E+05
116.3428    	2.19E+04
116.3452    	5.43E+04
116.3464    	1.27E+05
116.3476    	7.29E+04
116.35      	1.35E+04
116.3512    	1.55E+04
116.3524    	1.45E+04
116.3536    	1.91E+05
116.3548    	2.28E+05
116.356     	9.51E+04
116.368     	3.78E+05
116.3692    	2.08E+05
116.3716    	8.71E+04
116.374     	1.34E+04
116.3752    	1.28E+05
116.3788    	3.34E+05
116.38      	4.30E+05
116.3812    	2.90E+03
116.3824    	1.58E+05
116.3836    	4.51E+05
116.3848    	1.78E+05
116.386     	1.34E+05
116.3908    	7.87E+04
116.392     	2.67E+05
116.3932    	3.61E+05
116.3944    	2.00E+05
116.3956    	3.74E+05
116.3968    	2.09E+05
116.398     	4.93E+05
116.404     	2.98E+03
116.41      	6.09E+04
116.4124    	2.74E+04
116.4136    	2.64E+05
116.4184    	4.87E+04
116.4196    	1.84E+03
116.4208    	1.31E+05
116.422     	2.48E+05
116.4232    	5.30E+04
116.4244    	1.99E+05
116.4256    	7.83E+04
116.4292    	1.01E+05
116.4304    	9.30E+04
116.4316    	9.46E+04
116.4364    	1.03E+05
116.4376    	1.20E+05
116.4448    	1.10E+03
116.4472    	1.51E+05
116.4484    	1.38E+05
116.4544    	1.03E+04
116.4556    	2.58E+05
116.4568    	2.97E+05
116.464     	3.06E+04
116.4652    	3.86E+04
116.4688    	4.58E+04
116.47      	2.48E+05
116.4712    	2.13E+05
116.4724    	2.24E+05
116.4748    	4.19E+04
116.4772    	5.87E+05
116.4784    	1.42E+04
116.4796    	1.72E+05
116.4808    	1.04E+05
116.482     	2.08E+05
