#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    
69        	0         	2         	ok              	ok              	2.1540000000e-05	9.0990000000e+02	2.8724623845e+14	1.7146216806e+14	2.3596567169e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	0         	2         	ok              	ok              	1.6680000000e-05	8.9950000000e+02	2.2500760459e+14	1.3431086793e+14	2.3596567242e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	0         	2         	ok              	ok              	1.2920000000e-05	8.9020000000e+02	1.7610725277e+14	1.0512141561e+14	2.3596567294e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	0         	2         	ok              	ok              	1.0000000000e-05	8.8240000000e+02	1.3751080349e+14	8.2082538209e+13	2.3596567328e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	0         	2         	ok              	ok              	7.7430000000e-06	8.7580000000e+02	1.0727700443e+14	6.4035469100e+13	2.3596567350e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	0         	2         	ok              	ok              	5.9950000000e-06	8.7040000000e+02	8.3574276347e+13	4.9886907414e+13	2.3596567363e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	0         	2         	ok              	ok              	4.6420000000e-06	8.6640000000e+02	6.5011324217e+13	3.8806365469e+13	2.3596567366e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	0         	2         	ok              	ok              	3.5940000000e-06	8.6350000000e+02	5.0503101582e+13	3.0146160554e+13	2.3596567362e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	0         	2         	ok              	ok              	2.7830000000e-06	8.6150000000e+02	3.9197669253e+13	2.3397755666e+13	2.3596567352e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	0         	2         	ok              	ok              	2.1540000000e-06	8.6050000000e+02	3.0373661136e+13	1.8130555109e+13	2.3596567332e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	0         	2         	ok              	ok              	1.6680000000e-06	8.6060000000e+02	2.3517817891e+13	1.4038185650e+13	2.3596567301e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	0         	2         	ok              	ok              	1.2920000000e-06	8.6160000000e+02	1.8195296672e+13	1.0861082193e+13	2.3596567256e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	0         	2         	ok              	ok              	1.0000000000e-06	8.6340000000e+02	1.4053686852e+13	8.3888848408e+12	2.3596567193e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	0         	2         	ok              	ok              	7.7430000000e-07	8.6610000000e+02	1.0847846610e+13	6.4752642694e+12	2.3596567102e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	0         	2         	ok              	ok              	5.9950000000e-07	8.6940000000e+02	8.3670403658e+12	4.9944288260e+12	2.3596566976e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	0         	2         	ok              	ok              	4.6420000000e-07	8.7410000000e+02	6.4438633915e+12	3.8464517838e+12	2.3596566780e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	0         	2         	ok              	ok              	3.5940000000e-07	8.8080000000e+02	4.9511156365e+12	2.9554052723e+12	2.3596566445e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	0         	2         	ok              	ok              	2.7830000000e-07	8.8970000000e+02	3.7955254488e+12	2.2656138593e+12	2.3596565849e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	0         	2         	ok              	ok              	2.1540000000e-07	9.0180000000e+02	2.8982626363e+12	1.7300224741e+12	2.3596564659e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	0         	2         	ok              	ok              	1.6680000000e-07	9.1840000000e+02	2.2037706327e+12	1.3154684854e+12	2.3596561944e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
